"cc_saldo_atual","cc_saldo_medio","credit_card_limite","qtd_fin_imobiliario","qtd_mensal_cheques","qtd_pag_automovel","qtd_trans_atm","qtd_trans_kiosk","qtd_trans_teller","qtd_trans_web","retirada_mensal","valor_fin_imobiliario","valor_fundos_bancarios","classe_ltv","ltv","estado","estado_civil","idade","n_dependentes","profissao","proprietario_casa","proprietario_veiculo","regiao","salario","sexo","tem_filho","tem_seguro_imobiliario","tempo_cliente_anos","nome_sobrenome"
303,0,1000,1,3,548,3,3,3,300,53.3,1000,1600,"high",22983.75,"ny","married",27,3,"prof-33",1,1,"northeast",59135,"m",0,0,3,"bagley_matt"
25,0,1000,0,2,0,1,1,2,0,53.09,0,450,"low",8668.75,"fl","single",26,3,"programmer/developer",0,0,"south",62275,"m",1,0,3,"delacruz_alfred"
456,0,1500,2,4,776,3,2,1,2200,53.2,2200,2100,"very high",32582.75,"ca","divorced",33,1,"lab technician",2,1,"west",63131,"m",1,1,1,"hoyt_dong"
25,0,800,1,2,0,4,1,1,4500,53.81,4500,0,"high",25044,"ny","divorced",42,1,"prof-24",1,1,"northeast",69376,"f",1,0,1,"anderson_jessika"
4918,0,800,1,13,4939,4,1,4,650,53.49,1800,3850,"high",28932,"fl","married",44,1,"prof-23",1,1,"south",64128,"f",0,0,1,"foley_stephenie"
37,0,800,1,12,0,1,1,0,350,53.07,350,0,"high",29824,"ca","single",41,0,"nurse",1,1,"west",58896,"m",0,0,2,"purcell_hong"
25,0,500,2,0,504,0,0,1,10000,53.06,10000,0,"very high",36009.75,"ny","married",35,0,"administrative assistant",2,1,"northeast",66039,"m",1,0,2,"spivey_caleb"
25,0,1500,1,2,0,2,1,0,238,53.16,238,0,"high",26612.5,"ny","single",21,3,"mason",1,1,"northeast",76050,"m",0,0,3,"samuels_lane"
25,0,800,1,5,55548,6,1,0,485,55.81,485,0,"high",26897.75,"ny","single",77,1,"nurse",1,1,"northeast",62791,"m",1,0,1,"metzger_lyle"
25,0,1500,1,0,0,2,1,1,1000,53.15,1000,0,"high",24808,"ny","married",33,3,"it staff",1,1,"northeast",64032,"m",0,0,3,"starnes_man"
25,0,1500,1,3,1044,5,1,2,4000,54.58,4000,2200,"medium",18737.75,"mi","divorced",35,5,"school teacher",1,1,"midwest",70951,"f",1,1,5,"fontenot_cecile"
25,0,1000,1,0,0,0,1,0,380,53.06,380,0,"high",24003.75,"ny","single",24,3,"nurse",1,1,"northeast",64415,"m",0,0,3,"knight_augustine"
25,0,700,1,0,0,0,1,0,1200,53.06,1200,0,"high",23893.75,"ny","married",34,3,"truck driver",1,1,"northeast",59975,"m",0,0,3,"payton_stewart"
508,0,1000,1,4,1926,3,3,0,2750,53.18,2750,0,"medium",19743.75,"ny","divorced",26,3,"sales representative",1,1,"northeast",66575,"m",1,0,3,"christie_jimmie"
25,0,1000,1,2,409,4,3,2,1000,53.54,1000,250,"medium",20962.25,"dc","married",24,1,"it staff",1,1,"northeast",60249,"m",1,0,1,"haines_florencio"
281,0,1000,1,4,292,2,1,1,250,53.05,250,0,"high",22033.25,"mi","single",21,3,"first-line manager",1,1,"midwest",57733,"m",0,0,3,"maguire_omar"
25,0,1000,0,11,142,2,1,2,0,53.02,0,250,"medium",15148.5,"mi","single",27,3,"programmer/developer",0,1,"midwest",67794,"m",0,0,3,"leslie_jeffrey"
25,0,1000,1,1,0,0,1,1,1000,53.06,1000,0,"high",26425,"fl","married",62,4,"clerical",1,1,"south",64900,"m",0,0,4,"alonso_leandro"
25,0,800,0,1,0,0,1,1,0,53.06,0,0,"medium",16733.25,"ca","single",41,0,"nurse",0,0,"west",66533,"m",1,0,2,"rudolph_zachery"
25,0,1500,1,14,2871,5,7,4,1,54.78,2500,5801,"high",25993.5,"ut","divorced",34,3,"prof-46",1,1,"southwest",68374,"m",0,1,3,"gallegos_clint"
25,0,1500,0,0,0,0,1,0,0,53.06,0,0,"medium",18902,"ny","single",33,0,"nurse",0,0,"northeast",58408,"m",0,0,2,"anderson_wilber"
91,0,900,1,13,618,3,0,1,2500,53.36,2500,0,"medium",20559.25,"ny","divorced",36,3,"clerical",1,1,"northeast",65837,"m",1,0,3,"estrada_oliver"
59,0,1500,1,3,301,5,2,3,500,54.74,3000,1500,"medium",16406,"mi","divorced",35,5,"prof-65",1,1,"midwest",61624,"f",1,1,5,"irvin_sherrie"
25,0,1500,0,0,0,0,1,0,0,53.06,0,0,"medium",18000,"ny","single",22,0,"nurse",0,0,"northeast",59200,"m",0,0,2,"wilson_bernardo"
25,0,1500,0,0,0,0,1,0,0,53.06,0,0,"medium",15594.5,"ny","single",22,0,"nurse",0,0,"northeast",69578,"m",1,0,2,"unger_steve"
25,0,1000,1,4,3503,5,1,3,2000,53.99,2000,1200,"medium",21937.75,"nv","divorced",34,1,"it staff",1,1,"southwest",60151,"f",1,0,1,"blanchard_codi"
25,0,1400,0,0,504,0,0,0,0,53.06,0,0,"low",0,"mi","single",0,0,"author",0,1,"midwest",68468,"m",0,0,2,"maynard_ulysses"
25,0,1000,1,7,456,4,1,1,914,53.48,914,201,"medium",19166,"mi","married",23,3,"sales representative",1,1,"midwest",65464,"m",1,0,3,"gallegos_warner"
25,0,1000,1,2,245,3,1,2,700,53.29,700,250,"medium",19965.75,"ny","married",25,3,"prof-3",1,1,"northeast",67863,"m",1,0,3,"childs_logan"
25,0,1000,1,5,0,1,1,1,1500,53.08,1500,0,"high",23146.75,"ca","married",39,2,"bank teller",1,1,"west",68987,"m",1,0,2,"pugh_dominique"
25,0,1400,0,0,504,0,0,1,0,53.06,0,0,"medium",19766.75,"mn","single",80,0,"prof-15",0,1,"west",63067,"m",1,0,2,"vaughan_thurman"
25,0,1000,1,0,0,0,1,0,700,53.06,700,0,"high",25209,"ny","married",26,3,"prof-20",1,1,"northeast",68436,"m",0,0,3,"barron_randy"
216,0,1000,1,3,238,4,1,2,1000,53.62,1000,500,"high",27998.25,"ca","married",35,1,"prof-5",1,1,"west",63993,"f",0,0,1,"merritt_treena"
66,0,600,1,6,0,3,1,1,700,53.22,700,600,"high",27845.25,"ny","married",32,1,"childcare worker",1,1,"northeast",64581,"m",0,1,1,"prado_reid"
25,0,1000,0,0,0,0,1,1,0,53.06,0,0,"medium",14481.25,"mi","single",30,3,"programmer/developer",0,0,"midwest",63925,"m",0,0,3,"moreno_trenton"
2774,0,800,1,3,2858,5,1,1,675,54.32,1500,3025,"high",25068.75,"ca","married",49,1,"cashier",1,1,"west",66675,"m",1,0,1,"crane_mikel"
25,0,1500,1,3,0,3,1,2,300,53.22,300,350,"high",23716.25,"ca","single",22,4,"waiter/waitress",1,1,"west",70065,"m",0,0,4,"koehler_rob"
25,0,1500,1,14,159,4,1,3,1160,53.82,1160,696,"medium",20022,"mi","married",26,5,"first-line manager",1,1,"midwest",59688,"f",0,0,5,"drew_ellyn"
25,0,3500,1,0,0,0,1,1,5000,53.06,5000,0,"very high",30266.75,"fl","married",26,1,"prof-54",1,1,"south",96667,"f",1,0,1,"diaz_alberta"
25,0,1000,1,4,1086,5,1,3,300,54.22,1214,1650,"medium",17925.75,"fl","married",26,3,"dentist",1,1,"south",59303,"m",1,1,3,"unger_shirley"
270,0,1000,1,17,745,2,1,1,2500,53.05,2500,0,"medium",20844.5,"ny","divorced",26,3,"lab technician",1,1,"northeast",70978,"m",1,0,3,"corona_nelson"
25,0,1000,1,3,488,2,1,1,3000,53.12,3000,0,"high",22748.75,"ny","divorced",42,3,"bank teller",1,1,"northeast",70195,"f",1,0,4,"conner_sunni"
25,0,1000,1,4,159,4,1,2,1,53.78,1500,591,"medium",19309.25,"ca","married",70,6,"prof-2",1,1,"west",69237,"f",1,1,4,"hagen_annita"
25,111088,1700,1,0,112822,6,0,2,1201,56.37,3081,5501,"medium",18954.75,"ny","divorced",65,5,"administrative assistant",1,1,"northeast",59819,"f",1,0,5,"dodge_apryl"
25,0,1000,1,3,262,3,1,3,760,53.32,760,750,"medium",21141.75,"dc","married",27,3,"programmer/developer",1,1,"northeast",71767,"m",1,1,3,"lyon_cole"
25,0,600,0,2,0,1,1,0,0,53.08,0,0,"low",11607,"ca","single",63,6,"prof-5",0,0,"west",61228,"m",0,0,4,"cassidy_marc"
25,0,600,1,0,0,0,1,0,633,53.06,633,0,"high",27851.75,"ny","single",31,1,"prof-1",1,1,"northeast",65007,"m",0,0,1,"coyle_fred"
1774,0,1500,1,16,1791,3,1,1,2500,53.38,2500,2000,"medium",21383.5,"mi","divorced",33,5,"construction laborer",1,1,"midwest",62334,"f",0,0,5,"plummer_mayra"
223,0,1500,1,2,507,2,3,1,2151,53.04,2151,0,"very high",30416.25,"ny","divorced",37,1,"prof-42",1,1,"northeast",72865,"m",0,0,1,"leavitt_asa"
25,0,1500,1,1,260,1,1,1,5000,53.07,5000,0,"high",24987.5,"ca","married",34,0,"dba",1,1,"west",62350,"m",1,0,2,"brandon_terrance"
8493,0,500,0,4,9718,4,1,4,1500,53.81,0,9000,"low",7764.5,"mn","divorced",31,4,"software engineer",0,1,"west",62658,"m",1,0,4,"hull_elvis"
25,0,1500,1,1,0,1,1,0,600,53.07,600,0,"high",25120.75,"ny","single",28,3,"accountant",1,1,"northeast",67283,"m",0,0,3,"allison_lester"
25,0,800,1,3,0,2,2,0,4000,53.15,4000,0,"high",24994.75,"ny","divorced",52,1,"it staff",1,1,"northeast",65179,"f",1,0,1,"altman_arline"
25,0,1000,1,0,0,0,1,1,300,53.06,300,0,"high",25485,"ny","single",22,3,"programmer/developer",1,1,"northeast",71140,"m",0,0,3,"rogers_dustin"
25,0,1000,1,12,1229,5,2,1,300,54.84,1700,1860,"high",27527.75,"nc","married",42,2,"dba",1,1,"south",65311,"f",0,1,2,"adkins_mari"
302,0,1000,1,3,329,4,1,2,1800,53.57,1800,500,"medium",20845.25,"ny","married",26,1,"technical writer",1,1,"northeast",58981,"m",1,0,1,"rosen_francis"
633,2558,700,1,10,3203,2,1,2,760,53.15,760,550,"medium",18641.75,"ny","married",35,3,"childcare worker",1,1,"northeast",58567,"m",1,0,3,"huggins_val"
25,0,700,1,12,865,2,1,1,750,53.17,750,0,"high",23873.25,"mi","married",50,1,"prof-22",1,1,"midwest",61493,"f",1,0,1,"lim_janyce"
801,0,1000,1,14,809,3,1,2,1200,53.29,1200,251,"high",23665.75,"ny","married",23,3,"programmer/developer",1,1,"northeast",63463,"m",0,0,3,"beaty_buster"
25,0,1000,1,0,0,0,1,0,1050,53.06,1050,0,"low",0,"ny","married",0,3,"first-line manager",1,1,"northeast",63465,"m",0,0,3,"cutler_mario"
25,0,1000,0,2,101,2,2,3,0,53.02,0,750,"medium",14005.25,"mi","single",27,3,"programmer/developer",0,1,"midwest",63221,"m",0,1,3,"begay_jaime"
25,0,600,1,0,0,1,1,1,474,53.07,474,201,"high",23851.75,"wa","single",38,4,"prof-28",1,1,"west",64207,"m",0,0,4,"warden_fredric"
118,0,600,1,6,826,4,1,2,747,53.53,747,600,"high",24418.75,"ca","married",33,3,"sales representative",1,1,"west",62475,"m",0,0,3,"abraham_will"
25,0,1500,1,8,333,4,1,3,1300,53.57,1300,750,"high",29533.25,"mi","married",31,1,"dba",1,1,"midwest",71733,"f",0,1,1,"ashby_carie"
25,68682,900,1,1,76910,6,1,4,1500,55.88,3503,6800,"medium",16420.5,"ut","divorced",33,5,"veterinarian",1,1,"southwest",62482,"f",1,0,5,"mullen_akilah"
13931,0,1500,1,2,13939,5,1,1,1400,54.95,1400,1900,"high",23844.75,"ca","married",31,3,"secretary",1,1,"west",60979,"m",0,0,3,"faulkner_donny"
222,0,1000,0,18,292,3,6,1,0,53.25,0,0,"low",12585,"ny","single",23,3,"programmer/developer",0,1,"northeast",59140,"m",0,0,3,"steward_charlie"
25,0,1500,0,0,0,2,1,0,0,53.05,0,0,"medium",16257.75,"ca","single",20,3,"prof-18",0,0,"west",75031,"m",0,0,3,"duffy_andrew"
253,0,2500,1,2,262,4,1,2,731,53.39,731,500,"very high",30158,"ny","married",42,3,"prof-43",1,1,"northeast",81832,"m",0,0,3,"liu_gilbert"
25,0,1500,1,1,0,1,1,2,250,53.08,250,250,"medium",21920.5,"wi","single",27,3,"programmer/developer",1,1,"midwest",54882,"m",0,0,3,"walsh_everett"
5456,0,900,1,2,5975,2,0,1,1700,53.14,3000,3900,"high",23789.75,"ny","divorced",32,1,"prof-13",1,1,"northeast",62359,"f",1,0,4,"pryor_allie"
25,0,1000,0,0,0,6,1,1,0,56.63,0,0,"low",12921.5,"ny","single",29,3,"programmer/developer",0,0,"northeast",58086,"m",0,0,3,"ly_arlen"
25,0,1000,1,2,2576,3,1,2,1000,53.34,1000,500,"medium",21638,"ny","married",42,3,"sales representative",1,1,"northeast",67752,"m",1,0,3,"ruff_troy"
25,0,1500,1,0,0,0,1,0,2500,53.06,2500,0,"high",28327.25,"ny","divorced",32,2,"first-line manager",1,1,"northeast",72509,"m",0,0,2,"radford_keneth"
25,0,1500,1,14,184,3,1,3,2600,53.38,2600,1100,"medium",21242.75,"ny","divorced",31,5,"technical writer",1,1,"northeast",62571,"f",0,1,5,"dye_song"
67,0,1000,1,14,111,2,4,2,400,53.13,400,500,"high",23417.5,"ny","single",24,3,"programmer/developer",1,1,"northeast",62070,"m",0,1,3,"mccloud_jeremiah"
25,0,1500,1,13,111,4,3,0,2200,53.41,2200,0,"high",23028.75,"dc","divorced",23,3,"truck driver",1,1,"northeast",60915,"m",0,0,3,"schmidt_sol"
25,0,900,0,0,798,1,0,0,0,53.07,0,0,"medium",17634,"ca","single",27,1,"prof-18",0,1,"west",65736,"m",0,0,1,"cook_andy"
13752,0,1500,2,3,13972,5,0,6,3500,54.31,3500,8450,"very high",43101.25,"ny","divorced",69,1,"waiter/waitress",2,1,"northeast",70805,"f",0,0,1,"dougherty_barbara"
25,0,1000,0,4,539,2,4,2,0,53.02,0,500,"low",13784.5,"fl","single",21,3,"programmer/developer",0,1,"south",64738,"m",0,1,3,"fontenot_jewell"
25,0,1000,1,6,242,4,2,2,543,53.56,543,500,"medium",21977.75,"ny","single",20,3,"programmer/developer",1,1,"northeast",57911,"m",0,1,3,"ladd_collin"
25,0,1000,1,15,495,5,4,1,1000,54.86,1000,0,"high",23046.25,"mn","married",29,3,"waiter/waitress",1,1,"west",58585,"m",0,0,3,"ramirez_eric"
25,0,1500,1,8,667,4,1,2,1500,53.8,1500,500,"medium",17353.75,"ca","married",25,3,"first-line manager",1,1,"west",57415,"m",1,0,3,"mize_bill"
342,44,2500,1,1,413,2,1,0,3000,53.17,3000,0,"very high",31111,"nv","divorced",51,1,"clerical",1,1,"southwest",70044,"f",0,0,1,"fortune_charlesetta"
25,0,1000,0,2,212,3,1,2,0,53.19,0,500,"medium",18123.5,"mi","single",30,1,"childcare worker",0,1,"midwest",66494,"m",0,1,1,"bryson_floyd"
25,0,1000,1,15,134,4,1,3,480,53.69,480,750,"high",23397,"ny","single",24,3,"programmer/developer",1,1,"northeast",61988,"m",0,1,3,"roman_lincoln"
25,0,1000,0,2,186,4,1,2,0,53.5,0,500,"medium",14697.5,"fl","single",24,3,"programmer/developer",0,1,"south",67190,"m",0,1,3,"love_agustin"
131,0,700,1,2,141,3,1,2,885,53.25,885,450,"high",28072.75,"ny","married",42,1,"fireman",1,1,"northeast",61491,"m",0,0,1,"melvin_jerald"
25,0,1500,1,12,441,5,1,3,1600,54.64,1600,1250,"medium",21322.25,"dc","married",39,3,"prof-8",1,1,"northeast",65689,"m",1,1,4,"finley_les"
25,0,1500,1,18,1314,5,1,1,450,54.76,2450,2050,"very high",30081.5,"ny","divorced",33,1,"lab technician",1,1,"northeast",73126,"f",0,1,1,"norris_gene"
2095,0,500,0,13,2628,2,0,2,0,53.14,0,601,"medium",15362.25,"ca","single",26,0,"prof-6",0,1,"west",63049,"m",1,0,4,"seymour_darwin"
25,0,1000,1,4,214,2,2,2,450,53.12,450,500,"medium",15412,"ny","single",21,5,"programmer/developer",1,1,"northeast",63248,"f",1,0,5,"perez_demetrice"
25,0,1000,1,9,197,2,1,2,250,53.04,250,250,"high",25582.25,"ca","single",21,3,"programmer/developer",1,1,"west",71929,"m",0,1,3,"sheffield_granville"
25,0,2500,1,3,211,4,4,3,1350,53.46,1350,1050,"medium",20686,"ny","married",31,4,"construction laborer",1,1,"northeast",54344,"f",0,1,4,"ochoa_camilla"
25,0,1500,0,0,0,0,4,0,0,53.06,0,0,"medium",16709,"ny","single",20,0,"prof-5",0,0,"northeast",54836,"m",0,0,2,"roark_juan"
95,0,1500,0,13,114,2,4,2,0,53.17,0,250,"low",12437.5,"ny","single",19,3,"programmer/developer",0,1,"northeast",60150,"m",0,0,3,"ziegler_danial"
25,0,2500,1,3,662,5,4,1,400,54.12,2215,2100,"medium",20748.25,"wi","divorced",36,5,"prof-1",1,1,"midwest",58593,"f",0,1,5,"fletcher_janna"
25,0,2500,1,3,3271,2,4,3,2700,52.97,2700,1600,"high",22499.5,"ny","divorced",31,5,"truck driver",1,1,"northeast",67598,"f",0,0,5,"huntley_janyce"
25,0,2500,1,2,212,3,4,3,1021,53.32,1021,800,"high",29740,"ca","married",32,3,"prof-51",1,1,"west",84160,"m",0,0,3,"crawford_jan"
34,0,1500,1,0,0,2,1,1,2200,53.02,2200,0,"high",23545.5,"ny","divorced",31,5,"publisher",1,1,"northeast",71782,"f",0,0,5,"casey_laveta"
25,0,1000,1,2,2618,5,4,4,2400,55.04,3100,5200,"very high",30437.75,"dc","divorced",57,1,"not specified",1,1,"northeast",64951,"f",0,1,1,"jefferson_renetta"
1962,0,1000,1,8,2024,3,4,1,700,53.24,700,0,"medium",20522.25,"ny","married",28,3,"sales representative",1,1,"northeast",68889,"m",1,0,3,"fox_josh"
69,0,1000,1,13,100,3,2,2,400,53.28,400,650,"high",23179.25,"or","single",28,3,"programmer/developer",1,1,"west",59517,"m",0,0,3,"wheeler_edgar"
25,0,1000,1,2,0,2,4,3,1000,53.05,1000,750,"high",22402.5,"mi","married",21,3,"programmer/developer",1,1,"midwest",59210,"m",0,0,3,"beck_granville"
25,0,1000,1,2,377,2,4,2,1500,53.04,1500,301,"high",24340.75,"ny","married",30,3,"professor",1,1,"northeast",63363,"m",0,0,3,"joseph_sanford"
25,0,1000,1,0,0,0,4,0,400,53.06,400,0,"high",22861.5,"ny","single",22,3,"nurse",1,1,"northeast",60646,"m",0,0,3,"dougherty_ulysses"
25,0,700,0,0,0,2,4,1,0,53.13,0,0,"low",11453.25,"nm","single",32,1,"programmer/developer",0,0,"southwest",59013,"m",1,0,1,"mcmahan_quintin"
25,0,1000,0,1,990,2,4,1,0,53.03,0,0,"low",7759.5,"nv","single",27,3,"programmer/developer",0,1,"southwest",58238,"m",1,0,3,"london_miquel"
25,0,2000,1,1,175,6,4,1,3500,58.77,3500,0,"high",22713.5,"ca","divorced",36,4,"it staff",1,1,"west",80454,"f",1,0,4,"ramsey_aleida"
25,0,1500,1,12,509,6,4,1,2500,55.54,2500,3700,"high",24172.25,"ny","divorced",31,1,"publisher",1,1,"northeast",70289,"m",1,1,1,"alonzo_edmund"
25,0,1000,0,2,228,2,4,3,0,53.04,0,750,"low",7905.5,"ca","single",22,3,"programmer/developer",0,1,"west",60822,"m",1,1,3,"singh_jamel"
25,0,1000,1,0,0,0,4,0,200,53.06,200,0,"high",23290.75,"ny","single",18,3,"prof-29",1,1,"northeast",63963,"m",0,0,3,"chastain_rene"
25,0,1500,1,12,2176,5,4,4,2000,55.03,1600,8000,"medium",21498,"mi","married",43,1,"clerical",1,1,"midwest",54792,"m",1,1,1,"corcoran_jason"
2400,0,1400,1,13,3746,4,0,2,960,53.7,1089,3060,"high",24595.5,"ny","married",38,0,"veterinarian",1,1,"northeast",55182,"m",1,0,4,"shea_rolland"
25,0,3000,1,4,269,4,3,1,4500,53.53,4500,2400,"high",22026.75,"ca","divorced",31,5,"prof-8",1,1,"west",65707,"m",0,1,5,"mobley_erick"
361,0,1500,1,15,390,2,2,2,1800,53.05,1800,1350,"medium",19192.25,"mi","married",33,5,"fireman",1,1,"midwest",73569,"f",1,0,5,"fitzpatrick_rubi"
71,0,1000,1,4,117,1,4,2,300,53.07,300,500,"medium",18931.75,"mi","single",23,3,"prof-26",1,1,"midwest",64527,"m",1,0,3,"vick_elmer"
25,0,1000,0,0,0,1,4,0,0,53.07,0,0,"low",13578.75,"mi","single",27,3,"sales representative",0,0,"midwest",61515,"m",0,0,3,"valentin_chang"
487,0,1000,1,18,504,1,4,2,340,53.09,340,300,"medium",18730,"oh","single",26,3,"veterinarian",1,1,"midwest",62520,"m",1,0,3,"dugan_geraldo"
1532,0,5000,1,12,1800,5,4,1,6000,54.03,6000,3600,"low",13684.25,"tx","married",29,6,"homemaker",1,1,"southwest",63137,"f",1,0,4,"carter_maybell"
25,0,1500,1,1,0,3,4,1,1700,53.23,1700,0,"medium",21246.25,"mi","married",19,3,"prof-37",1,1,"midwest",55385,"m",0,0,3,"pepper_riley"
25,0,1000,1,4,297,4,4,2,375,53.58,375,500,"medium",21898,"ca","single",19,3,"professor",1,1,"west",57992,"m",0,0,3,"ferrell_desmond"
134,452,1000,1,4,625,4,4,2,1036,53.42,1036,500,"medium",19662.25,"mi","married",26,2,"programmer/developer",1,1,"midwest",60249,"m",1,0,2,"rollins_dwight"
116,0,600,1,4,123,1,4,1,900,53.07,900,0,"high",25540,"ny","married",44,3,"dentist",1,1,"northeast",62560,"m",0,0,3,"bryson_duane"
25,0,1500,1,4,0,2,4,1,3000,53.01,3000,0,"high",23319.75,"nv","divorced",32,1,"it staff",1,1,"southwest",66479,"m",1,0,1,"weathers_fidel"
25,0,600,1,1,0,1,4,0,350,53.07,350,0,"high",23577,"ny","single",33,3,"prof-3",1,1,"northeast",59108,"m",0,0,3,"bowen_dean"
1291,0,1500,1,18,1304,2,4,3,1200,53.13,1200,1550,"high",28170,"ca","married",34,1,"dba",1,1,"west",65080,"m",0,0,1,"landers_sydney"
25,0,1500,1,6,645,4,4,1,500,53.49,2100,2500,"medium",20661,"mi","divorced",41,3,"it staff",1,1,"midwest",64244,"m",1,0,3,"peoples_marvin"
25,0,1000,1,3,0,1,4,0,122,53.08,122,0,"high",24968,"or","single",19,3,"waiter/waitress",1,1,"west",70272,"m",0,0,3,"nobles_darron"
25,0,600,0,0,502,0,0,1,0,53.06,0,0,"medium",16078.5,"ny","single",39,0,"administrative assistant",0,1,"northeast",64714,"m",1,0,2,"childress_zachery"
25,0,2500,1,12,566,4,4,2,1055,53.42,1055,600,"high",27845.5,"ca","married",44,1,"prof-21",1,1,"west",79782,"f",1,0,1,"yeager_colleen"
25,0,3000,1,13,7999,7,4,5,3200,59.99,4388,16100,"high",28316,"ca","divorced",60,1,"secretary",1,1,"west",75264,"m",1,1,1,"franco_deandre"
25,0,1500,0,7,125,3,4,2,0,53.19,0,500,"low",11521.5,"mi","single",22,3,"programmer/developer",0,1,"midwest",55286,"m",0,1,3,"quarles_ira"
25,0,1500,1,2,0,2,4,0,228,53.05,228,0,"high",26466.75,"ca","single",27,3,"nurse",1,1,"west",73067,"m",0,0,3,"flint_paul"
25,0,1500,0,0,257,0,4,2,0,53.06,0,250,"medium",16453.75,"wa","single",21,3,"programmer/developer",0,1,"west",75415,"m",0,0,3,"frank_al"
25,0,1500,0,1,0,0,4,0,0,53.06,0,0,"medium",16723.75,"ms","single",20,3,"prof-3",0,0,"south",76895,"m",0,0,3,"bell_ian"
25,6611,700,1,14,8314,3,4,2,913,53.36,913,251,"high",22810.25,"mi","married",62,3,"bank teller",1,1,"midwest",64441,"m",1,0,3,"stockton_omer"
59,0,3500,1,2,1879,2,4,1,5000,52.78,5000,0,"high",28163.75,"mn","married",41,3,"clerical",1,1,"west",92255,"f",1,0,4,"matthews_joy"
25,0,700,1,0,0,0,1,0,170,53.06,170,0,"high",23236.25,"ca","single",31,3,"nurse",1,1,"west",58545,"m",0,0,3,"burks_refugio"
916,0,1000,1,9,925,1,1,3,700,53.09,700,750,"high",23723.75,"ny","married",20,3,"sales representative",1,1,"northeast",64895,"m",0,0,3,"parris_burl"
